Time [s],Dn,Dp
0.088119754,0,1
0.088119838,1,0
0.088119922,0,1
0.088120004,1,0
0.088120088,0,1
0.088120172,1,0
0.088120254,0,1
0.088120338,1,0
0.088120420,0,0
0.088120422,0,1
0.088120504,1,0
0.088120588,0,1
0.088120672,1,0
0.088120754,0,1
0.088120838,1,0
0.088120920,0,1
0.088121004,1,0
0.088121088,0,1
0.088121172,1,0
0.088121254,0,1
0.088121338,1,0
0.088121420,0,0
0.088121422,0,1
0.088121504,1,0
0.088121588,0,1
0.088121672,1,0
0.088121838,0,1
0.088121920,1,1
0.088121922,1,0
0.088122004,0,1
0.088122088,1,0
0.088122170,0,0
0.088122172,0,1
0.088122254,1,0
0.088122338,0,1
0.088122422,1,0
0.088122504,0,1
0.088122672,1,0
0.088123004,0,1
0.088123254,1,0
0.088123338,0,1
0.088123504,1,0
0.088123672,0,1
0.088123754,1,0
0.088123922,0,0
0.088124090,0,1
0.088309066,0,1
