Time [s],Dn,Dp
0.128025730,0,0
0.128025890,0,1
0.128026430,1,0
0.128026510,0,1
0.128026590,0,0
0.128026600,1,0
0.128026680,0,1
0.128026760,1,0
0.128026840,0,1
0.128026930,1,0
0.128027100,0,1
0.128027260,1,0
0.128027340,0,1
0.128027510,1,0
0.128027760,0,0
0.128027930,0,1
0.128028600,1,0
0.128028680,0,1
0.128028760,1,0
0.128028840,0,1
0.128028930,1,0
0.128029010,0,1
0.128029090,0,0
0.128029100,1,0
0.128029350,0,1
0.128029430,1,0
0.128029600,0,1
0.128029850,1,0
0.128029930,0,1
0.128030010,1,0
0.128030090,0,1
0.128030180,1,0
0.128030260,0,1
0.128030340,0,0
0.128030350,1,0
0.128030430,0,1
0.128030510,1,0
0.128030590,0,1
0.128030680,1,0
0.128030760,0,1
0.128030840,0,0
0.128030850,1,0
0.128031010,0,1
0.128031090,0,0
0.128031100,1,0
0.128031180,0,1
0.128031260,0,0
0.128031430,0,1
0.128031640,1,1
0.128031650,1,0
0.128031730,0,0
0.128031740,0,1
0.128031810,1,0
0.128031890,1,1
0.128031900,0,1
0.128031980,0,0
0.128031990,1,0
0.128032060,0,1
0.128032140,1,1
0.128032150,1,0
0.128032480,0,1
0.128032640,1,1
0.128032650,1,0
0.128032730,0,0
0.128032740,0,1
0.128032890,1,1
0.128032900,1,0
0.128033140,1,1
0.128033150,0,1
0.128033310,1,0
0.128033480,0,1
0.128033730,1,0
0.128033980,0,1
0.128034060,1,0
0.128034390,1,1
0.128034400,0,1
0.128034480,0,0
0.128034490,1,0
0.128034560,0,1
0.128034730,1,0
0.128034810,0,1
0.128034890,1,1
0.128034900,1,0
0.128034980,0,1
0.128035140,1,1
0.128035150,1,0
0.128035230,0,0
0.128035240,0,1
0.128035310,1,0
0.128035480,0,1
0.128035560,1,0
0.128035730,0,1
0.128035810,1,0
0.128035890,1,1
0.128035900,0,1
0.128035980,0,0
0.128035990,1,0
0.128036060,0,1
0.128036140,1,1
0.128036150,1,0
0.128036230,0,1
0.128036310,1,0
0.128036480,0,1
0.128036560,1,0
0.128036640,1,1
0.128036650,0,1
0.128036730,1,0
0.128036810,0,1
0.128036890,1,1
0.128036900,1,0
0.128036980,0,1
0.128037060,1,0
0.128037140,1,1
0.128037150,0,1
0.128037230,1,0
0.128037310,0,1
0.128037390,1,1
0.128037400,1,0
0.128037480,0,1
0.128037560,1,0
0.128037650,0,1
0.128037730,1,0
0.128037810,0,1
0.128037890,1,1
0.128037900,1,0
0.128037980,0,1
0.128038060,1,0
0.128038150,0,1
0.128038230,1,0
0.128038480,0,1
0.128038560,1,0
0.128038810,0,1
0.128039060,1,0
0.128039150,1,1
0.128039160,0,1
0.128039310,1,0
0.128039400,1,1
0.128039410,0,1
0.128039480,1,0
0.128039650,0,0
0.128039810,0,1
